id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,Entire home/apt,Hotel room,Private room,Shared room,neighbourhood_labels
21280,442,5,94,1.23,90,1,1,0,0,0,9
48726,105,3,42,1.35,90,1,0,0,1,0,3
48901,548,4,4,0.07,348,1,1,0,0,0,3
50294,1206,3,72,0.67,322,5,1,0,0,0,9
60718,1084,7,8,0.07,240,2,1,0,0,0,3
61661,138,5,37,0.33,85,6,1,0,0,0,3
66574,260,4,1,0.02,328,2,1,0,0,0,3
68422,216,4,79,0.7,90,1,0,0,1,0,3
72900,459,3,14,0.16,0,1,1,0,0,0,9
75148,111,5,32,0.44,90,6,1,0,0,0,3
76961,77,2,94,0.85,180,2,1,0,0,0,3
77318,162,4,35,0.4,0,1,1,0,0,0,9
80145,110,2,14,0.15,365,2,0,0,1,0,3
84008,359,3,21,0.23,348,4,1,0,0,0,3
85807,151,2,2,0.42,364,5,1,0,0,0,3
86670,138,2,91,0.85,163,7,1,0,0,0,9
86978,825,1,0,0.0,365,1,0,0,1,0,6
87202,167,1,19,0.42,365,1,1,0,0,0,0
87762,299,2,15,0.46,343,1,1,0,0,0,9
88528,149,2,64,0.61,213,7,1,0,0,0,3
88781,127,2,47,0.53,163,7,1,0,0,0,3
89454,487,2,43,0.46,363,3,1,0,0,0,9
89862,113,2,44,0.49,161,7,1,0,0,0,3
89893,495,1,0,0.0,365,1,0,0,1,0,3
90907,625,2,2,0.31,0,1,1,0,0,0,3
92107,189,2,6,0.07,1,2,0,0,1,0,3
94895,133,1,7,0.13,365,3,0,0,1,0,3
96167,1206,7,0,0.0,83,2,1,0,0,0,3
96431,238,4,41,0.47,352,2,1,0,0,0,6
96478,170,4,0,0.0,365,3,0,0,1,0,3
97636,108,2,17,0.17,1,9,0,0,1,0,3
99547,133,2,60,0.68,90,3,1,0,0,0,3
101182,199,4,0,0.0,365,3,1,0,0,0,3
103053,385,1,0,0.0,365,1,0,0,1,0,3
106372,357,4,7,0.15,358,1,1,0,0,0,6
108882,243,3,57,0.52,0,1,1,0,0,0,3
118355,181,2,2,0.12,270,6,0,0,1,0,6
125115,825,1,2,0.02,365,1,0,0,1,0,8
125656,293,2,85,0.78,318,1,1,0,0,0,3
126008,181,5,5,0.05,87,2,0,0,1,0,9
130234,210,3,4,0.16,322,1,1,0,0,0,3
132114,104,1,5,0.06,363,1,0,0,1,0,3
132832,160,2,4,0.07,0,5,0,0,1,0,3
132909,302,1,22,0.42,1,2,0,0,1,0,8
133221,122,3,30,0.35,365,1,0,0,1,0,3
133575,137,1,4,0.04,180,2,0,0,1,0,8
137002,658,3,13,0.12,298,7,1,0,0,0,9
137048,243,3,32,0.3,1,1,1,0,0,0,9
137343,664,6,39,0.36,365,1,1,0,0,0,9
142688,133,2,94,0.87,99,3,1,0,0,0,3
145966,198,1,0,0.0,365,1,0,0,1,0,8
146028,1106,2,0,0.0,365,1,0,0,0,1,3
146402,275,2,80,0.81,365,4,0,0,1,0,3
154127,143,1,0,0.0,365,1,1,0,0,0,6
154370,137,2,4,0.04,268,4,0,0,1,0,6
166177,127,2,85,0.8,364,10,1,0,0,0,3
166861,271,3,12,0.17,272,2,0,0,1,0,3
166972,171,3,1,0.15,364,1,1,0,0,0,3
167031,155,2,73,0.79,364,10,1,0,0,0,9
167928,465,1,0,0.0,365,1,0,0,1,0,0
167932,133,1,70,0.67,364,10,1,0,0,0,3
170397,127,1,98,0.93,334,10,1,0,0,0,3
171505,416,3,1,0.02,364,1,1,0,0,0,9
172902,111,2,85,0.8,364,10,1,0,0,0,3
173709,100,1,77,0.75,62,3,1,0,0,0,3
174911,144,3,13,0.45,83,2,1,0,0,0,3
178951,525,3,78,0.73,364,3,1,0,0,0,3
186604,648,3,0,0.0,1,1,0,0,1,0,3
186638,324,10,0,0.0,0,1,0,0,1,0,9
186989,151,2,2,0.02,2,2,1,0,0,0,3
187092,211,3,0,0.0,2,2,1,0,0,0,3
190204,122,3,46,0.48,365,2,0,0,1,0,3
191462,60,1,70,1.51,327,1,0,0,1,0,3
191955,99,5,1,0.02,358,3,0,0,1,0,3
192548,548,2,1,0.02,0,2,0,0,1,0,6
194319,1206,4,13,0.12,364,1,1,0,0,0,9
196312,183,2,76,0.72,173,1,1,0,0,0,3
198646,59,1,6,0.06,364,3,0,0,1,0,2
198665,495,3,6,0.06,365,1,0,0,1,0,9
201308,825,3,2,0.02,365,1,0,0,1,0,3
202400,359,3,0,0.0,329,1,1,0,0,0,3
203674,1826,5,48,0.49,0,1,1,0,0,0,9
215793,394,2,33,0.31,2,4,0,0,1,0,3
215878,277,2,31,0.31,179,4,0,0,1,0,3
215887,221,2,32,0.31,365,4,0,0,1,0,3
216461,825,1,0,0.0,365,1,0,0,1,0,3
216700,192,4,20,0.21,364,4,0,0,1,0,3
220377,198,3,4,0.04,364,2,0,0,1,0,8
220705,299,3,0,0.0,347,2,0,0,1,0,3
221267,176,3,75,0.74,179,1,1,0,0,0,5
221379,326,9,25,0.24,268,5,1,0,0,0,3
230989,88,2,100,0.96,358,4,1,0,0,0,3
231105,209,2,43,0.53,77,5,1,0,0,0,6
231497,122,2,52,0.5,365,4,1,0,0,0,3
231516,348,2,31,0.3,365,4,1,0,0,0,3
236991,299,5,16,0.21,151,1,1,0,0,0,3
238802,319,2,41,0.39,0,3,1,0,0,0,3
239531,149,2,83,0.81,365,10,1,0,0,0,3
239690,135,3,13,0.17,0,1,0,0,1,0,3
239860,962,6,0,0.0,363,2,1,0,0,0,5
242214,199,1,0,0.0,365,3,1,0,0,0,3
245951,232,3,13,0.13,353,1,1,0,0,0,3
249323,691,1,80,0.77,357,1,1,0,0,0,3
251701,550,7,27,0.26,365,9,1,0,0,0,9
251868,177,4,82,0.79,50,2,1,0,0,0,3
253019,220,2,13,0.13,363,1,0,0,1,0,9
258466,99,3,14,0.14,364,2,0,0,1,0,8
260323,1924,2,1,0.01,365,2,1,0,0,0,6
262466,247,1,3,0.03,187,1,1,0,0,0,3
264816,269,7,28,0.29,179,2,1,0,0,0,6
265072,100,1,80,0.79,61,3,1,0,0,0,3
266698,299,5,2,0.03,363,3,1,0,0,0,3
271975,170,1,8,0.09,183,1,1,0,0,0,9
272631,293,2,22,0.31,364,2,0,0,1,0,3
273333,178,5,19,0.19,0,2,0,0,1,0,9
273496,819,3,49,0.48,364,1,1,0,0,0,9
274328,553,5,87,0.86,178,1,1,0,0,0,9
274552,122,4,2,0.02,365,1,1,0,0,0,3
276986,415,3,10,0.11,364,2,0,0,1,0,9
277124,492,2,14,0.12,1,1,0,0,1,0,9
277923,448,5,19,0.19,178,6,1,0,0,0,9
278679,149,15,14,0.14,179,5,1,0,0,0,3
278745,1759,7,1,0.01,365,4,1,0,0,0,9
280551,846,4,0,0.0,0,1,1,0,0,0,6
280625,66,3,21,0.21,365,9,0,0,1,0,3
280765,243,3,4,0.04,364,4,1,0,0,0,3
281459,275,3,9,0.49,0,1,1,0,0,0,9
282071,357,2,36,0.37,114,2,1,0,0,0,3
284762,249,2,7,0.09,364,4,1,0,0,0,3
284910,271,1,45,0.44,90,1,1,0,0,0,3
285554,103,1,17,0.34,0,3,0,0,1,0,9
285817,321,2,5,0.05,328,1,1,0,0,0,3
286677,188,2,33,0.33,219,7,0,0,1,0,3
286788,108,2,19,0.19,2,7,0,0,1,0,3
286792,138,2,1,0.06,286,7,0,0,1,0,3
289898,100,2,4,0.09,333,7,0,0,1,0,3
290503,221,15,24,0.24,179,5,1,0,0,0,3
291771,1936,4,16,0.16,83,2,1,0,0,0,3
293166,282,3,1,0.02,364,4,1,0,0,0,3
293171,271,3,0,0.0,364,4,1,0,0,0,3
294292,249,3,43,0.43,320,3,0,0,1,0,3
295493,324,2,6,0.06,365,2,1,0,0,0,3
295955,121,29,16,0.16,248,1,1,0,0,0,3
297908,100,2,34,0.37,365,1,1,0,0,0,3
299352,825,2,7,0.07,365,2,0,0,1,0,3
302327,65,3,44,0.43,0,1,1,0,0,0,3
305894,243,4,31,0.32,0,2,1,0,0,0,3
307714,270,5,8,0.08,89,1,0,0,1,0,9
310233,332,6,26,0.26,268,1,1,0,0,0,3
313441,32,1,2,0.03,365,1,0,0,1,0,7
313680,324,1,0,0.0,365,2,0,0,1,0,1
314975,1627,8,18,0.18,34,1,1,0,0,0,9
315102,138,3,39,0.44,208,2,1,0,0,0,9
315109,603,2,15,0.15,205,2,1,0,0,0,9
316355,220,4,11,0.11,363,2,0,0,1,0,9
316652,148,3,93,0.92,290,1,0,0,1,0,3
318861,608,3,3,0.04,365,1,1,0,0,0,3
321637,715,3,1,0.01,365,3,0,0,1,0,3
321648,702,3,3,0.03,365,3,0,0,1,0,3
321802,440,2,21,0.29,365,3,0,0,1,0,3
321803,1375,2,0,0.0,365,3,0,0,1,0,3
323213,221,3,13,0.17,363,1,0,0,1,0,9
323625,124,1,59,0.59,365,2,0,0,1,0,3
324324,171,4,91,0.92,269,1,1,0,0,0,3
